museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.wiki.462	no_resource	no_resource	keep	keep				
mm.misc.197	no_resource	no_resource	keep	keep				
mm.mgs.384	twitter.com/search?q=%23staffinmuseum	['www.facebook.com/staffindinosaurmuseum', 'en-gb.facebook.com/StaffinDinosaurMuseum']	keep	keep				
mm.domus.WM104	twitter.com/staffordcastleg	en-gb.facebook.com/events/stafford-castle/stafford-castle-music-festival/253569085126303	keep	keep				
mm.domus.WM101	no_resource	no_resource	drop	drop			['twitter.com/staffordshirecc']	['www.facebook.com/staffordshire.pasttrack', 'www.facebook.com/yourstaffordshire', 'en-gb.facebook.com/StaffordshireArchivesandHeritage']
mm.domus.SE360	twitter.com/stainedglassmus	en-gb.facebook.com/thestainedglassmuseum	keep	keep				
mm.ace.1183	twitter.com/staircasehouse	en-gb.facebook.com/StaircaseHouse1	keep	keep				
mm.fcm.239	['twitter.com/norfolkbroads']	['www.facebook.com/norfolkandsuffolkbroads', 'en-gb.facebook.com/Norfolkfiremuseum/posts']	keep	keep				
mm.domus.SE558	twitter.com/standennt	['www.facebook.com/standennt', 'en-gb.facebook.com/StandenNT']	keep	keep				
mm.hha.090	twitter.com/stanfordhallcsa	en-gb.facebook.com/Stanfordweddings	keep	keep				
mm.domus.SE359	twitter.com/spencercookham	['en-gb.facebook.com/public/stanley-spencer']	keep	keep				
mm.musa.328	no_resource	['www.facebook.com/stansted.windmill', 'en-gb.facebook.com/Stansted.Windmill']	keep	keep				
mm.hha.028	twitter.com/stanstedpark	['www.facebook.com/stansted.park', 'en-gb.facebook.com/stansted.park']	keep	keep				
mm.hha.057	twitter.com/stanwayhouse	no_resource	keep	keep				
