muse_id	musname	town	url	url_source	Unnamed: 5
mm.domus.WM005	Leamington Art Gallery And Museum	Leamington Spa	https://www.warwickdc.gov.uk/royalpumprooms/info/2/leamington_spa_art_gallery_and_museum	pred	
mm.domus.WM103	Ancient High House	Stafford	https://www.staffordbc.gov.uk/the-ancient-high-house	pred	
mm.domus.WM115	Haden Hill House	Cradley Heath	https://www.sandwell.gov.uk/info/200265/museums_and_art_gallery/11/haden_hill_house_museum_and_haden_old_hall	pred	
mm.ace.1208	Birmingham Back To Backs	Birmingham	https://www.nationaltrust.org.uk/birmingham-back-to-backs	pred	
mm.domus.WM139	Benthall Hall	Broseley	https://www.nationaltrust.org.uk/benthall-hall	pred	
mm.domus.WM052	Midland Air Museum	Baginton	http://www.midlandairmuseum.co.uk/	pred	
mm.wiki.372	Red House Glass Cone	Stourbridge	https://www.dudley.gov.uk/things-to-do/museums/red-house-glass-cone/	pred	
mm.wiki.202	Ledbury Heritage Centre	Ledbury	http://www.ledburyplaces.co.uk/	manual	
mm.domus.WM106	Izaak Walton's Cottage	nr Stafford	https://www.staffordbc.gov.uk/izaak-waltons-cottage	pred	
mm.domus.WM072	Locksmiths House	Willenhall	https://www.bclm.co.uk/locations/the-locksmiths-house/440.htm	pred	
mm.domus.WM145	House On Crutches Museum	Bishops Castle	https://www.hocmuseum.org.uk/	pred	
mm.ace.1288	Claymills Victorian Pumping Station	Burton on Trent	http://www.claymills.org.uk/	pred	
mm.wiki.343	Nicholson Museum & Art Gallery	Leek	https://www.staffsmoorlands.gov.uk/article/2121/The-Nicholson-Museum-and-gallery	pred	
mm.MDN.035	Far Eastern Prisoners Of War Museum	Lichfield	https://www.lstmed.ac.uk/history/far-eastern-prisoners-of-war-fepow	pred	
mm.wiki.404	Military Wireless Museum	Kidderminster	https://www.radiomuseum.org/museum/gb/military-wireless-museum-kidderminster/.html	pred	
mm.wiki.368	Birmingham Gun Barrel Proof House	Birmingham	http://www.gunproof.com/	pred	
mm.hha.116	Little Malvern Court	Nr. Malvern	http://www.littlemalverncourt.co.uk/	pred	
mm.ace.1166	Roman Alcester	Alcester	http://romanalcester.org/	pred	
mm.musa.372	Webb Ellis Rugby Football Museum	Rugby	no_resource	manual	
mm.aim.1040	The Dudson Museum	Stoke-on-Trent	https://dudsoncentre.org.uk/dudson-museum/	pred	
mm.wiki.341	Apedale Heritage Centre	Sheffield	https://www.apedale.co.uk/	pred	
mm.hha.112	Arbury Hall	Nuneaton	https://arburyestate.co.uk/	pred	
mm.New.121	The Museum of Saint John Henry Cardinal Newman	Birmingham	https://www.birminghamoratory.org.uk/cardinal-newman-museum/	pred	
mm.domus.YH133	Hull Maritime Museum	Hull	https://www.hcandl.co.uk/museums-and-galleries/hull-maritime-museum/maritime-museum	pred	
mm.domus.YH035	Cartwright Hall Art Gallery	Bradford	https://www.bradfordmuseums.org/venues/cartwright-hall-art-gallery	manual	
mm.domus.YH020	Weston Park Museum	Sheffield	https://www.museums-sheffield.org.uk/museums/weston-park/home	pred	
mm.domus.YH101	Bronte Parsonage Museum	Keighley	https://www.bronte.org.uk/	manual	
mm.domus.YH157	Nostell Priory	nr Wakefield	https://www.nationaltrust.org.uk/nostell	pred	
mm.domus.YH003	Leeds City Museum	Leeds	https://museumsandgalleries.leeds.gov.uk/leeds-city-museum/	pred	
mm.domus.YH066	Embsay & Bolton Abbey Steam Railway	nr Skipton	https://www.embsayboltonabbeyrailway.org.uk/	pred	
mm.domus.YH007	Temple Newsam House	Leeds	https://museumsandgalleries.leeds.gov.uk/temple-newsam/	pred	
mm.domus.YH049	Dales Countryside Museum	Hawes	https://www.dalescountrysidemuseum.org.uk/	pred	
mm.domus.YH045	Worsbrough Mill Museum	Barnsley	http://www.worsbrough-mill.com/	manual	
mm.domus.YH168	Beverley Art Gallery	Beverley	https://artuk.org/visit/venues/beverley-art-gallery-3517	manual	
mm.domus.YH088	Ripon Prison And Police Museum	Ripon	https://riponmuseums.co.uk/museums/prison_police_museum/	pred	
mm.domus.YH030	Barley Hall	York	https://barleyhall.co.uk/	manual	
mm.domus.YH103	The Prince Of Waless Own Regiment Of Yorkshire Museum	York	https://www.yorkarmymuseum.co.uk/prince-of-wales.php	pred	
mm.domus.YH017	Batley Art Gallery	Batley	https://www.kirklees.gov.uk/batleygallery	pred	
mm.wiki.306	Richard III Experience	York	https://richardiiiexperience.com/	pred	
mm.domus.YH116	Heptonstall Museum	Heptonstall	https://museums.calderdale.gov.uk/visit/heptonstall-museum	pred	
mm.domus.YH170	Rievaulx Abbey	Helmsley	https://www.english-heritage.org.uk/visit/places/rievaulx-abbey/	pred	
mm.domus.YH089	Richmondshire Museum	Richmond	http://www.richmondshiremuseum.org.uk/	pred	
mm.domus.YH125	Malton Museum	Malton	https://www.maltonmuseum.co.uk/	pred	
mm.musa.130	Experience Barnsley	Barnsley	http://www.experience-barnsley.com/	pred	
mm.aim.0112	Bradford Police Museum	Bradford	http://www.bradfordpolicemuseum.com/	pred	
mm.hha.128	Sutton Park	Sutton-on-the-Forest	https://www.birmingham.gov.uk/info/20089/parks/405/sutton_park	pred	
mm.domus.YH150	Queens Own Yorkshire Yeomanry Museum	York	https://ageofrevolution.org/venues/yorkshire-yeomanry-museum/	pred	
mm.musa.391	Wortley Top Forge	Sheffield	https://www.topforge.co.uk/	pred	
mm.wiki.304	Hovingham Hall	York	https://www.hovingham.co.uk/	pred	
mm.wiki.100	Flamborough Head Lighthouse Visitor Centre	Flamborough	https://www.trinityhouse.co.uk/lighthouse-visitor-centres/flamborough-lighthouse-visitor-centre	pred	
mm.domus.YH087	Robin Hoods Bay & Fylingdales Museum	Whitby	http://museum.rhbay.co.uk/	pred	
mm.New.70	Queen's Mill	Castleford	http://www.castlefordheritagetrust.org.uk/TheMill.php	manual	
